Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class
PC(18:1_18:2)_ln_b	PC 18:1_18:2	783.5778	C44H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:3)_lp_a	PC 36:3	783.5778	C44H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:3)_lp_b	PC 36:3	783.5778	C44H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:3)_lp_e	PC 36:3	783.5778	C44H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:4)	PC 36:4	781.5622	C44H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(16:0_20:4)_ln_c	PC 16:0_20:4	781.5622	C44H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(18:2/18:2)_ln_b	PC 18:2/18:2	781.5622	C44H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:4)_lp_b	PC 36:4	781.5622	C44H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:4)_lp_c	PC 36:4	781.5622	C44H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:4)_lp_f	PC 36:4	781.5622	C44H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(16:0_20:5)_ln_c	PC 16:0_20:5	779.5465	C44H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(16:1_20:4)_ln_b	PC 16:1_20:4	779.5465	C44H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:5)_lp_b	PC 36:5	779.5465	C44H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:5)_lp_c	PC 36:5	779.5465	C44H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:5)_lp_f	PC 36:5	779.5465	C44H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:6)_lp_b	PC 36:6	777.5309	C44H76NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:6)_lp_c	PC 36:6	777.5309	C44H76NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:0)_lp_e	PC 37:0	803.6404	C45H90NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:1)_lp_b	PC 37:1	801.6248	C45H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:1)_lp_c	PC 37:1	801.6248	C45H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:2)_lp_a	PC 37:2	799.6091	C45H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:2)_lp_b	PC 37:2	799.6091	C45H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:3)_lp_a	PC 37:3	797.5935	C45H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:3)_lp_b	PC 37:3	797.5935	C45H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:3)_lp_d	PC 37:3	797.5935	C45H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(17:0_20:4)_ln_c	PC 17:0_20:4	795.5778	C45H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:4)_lp_c	PC 37:4	795.5778	C45H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:4)_lp_e	PC 37:4	795.5778	C45H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:6)_lp_a	PC 37:6	791.5465	C45H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:6)_lp_d	PC 37:6	791.5465	C45H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:0)	PC 38:0	817.6561	C46H92NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:1)	PC 38:1	815.6404	C46H90NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(18:0_20:2)_ln_d	PC 18:0_20:2	813.6248	C46H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:2)_ln_b	PC 38:2	813.6248	C46H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:2)_lp_a	PC 38:2	813.6248	C46H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:2)_lp_d	PC 38:2	813.6248	C46H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:2)_lp_g	-					
PC(18:0_20:3)_ln_c	PC 18:0_20:3	811.6091	C46H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:3)_lp_b	PC 38:3	811.6091	C46H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:3)_lp_c	PC 38:3	811.6091	C46H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:3)_lp_d	PC 38:3	811.6091	C46H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(16:0_22:4)_ln_c	PC 16:0_22:4	809.5935	C46H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(18:0_20:4)_ln_d	PC 18:0_20:4	809.5935	C46H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:4)_lp_c	PC 38:4	809.5935	C46H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:4)_lp_d	PC 38:4	809.5935	C46H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(16:0_22:5)_ln_e	PC 16:0_22:5	807.5778	C46H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:5)_ln_c	PC 38:5	807.5778	C46H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:5)_lp_c	PC 38:5	807.5778	C46H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:5)_lp_e	PC 38:5	807.5778	C46H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:6)	PC 38:6	805.5622	C46H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:6)_ln_b	PC 38:6	805.5622	C46H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(18:2_20:4)_ln_a	PC 18:2_20:4	805.5622	C46H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:6)_lp_a	PC 38:6	805.5622	C46H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:6)_lp_b	PC 38:6	805.5622	C46H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:7)_lp_b	PC 38:7	803.5465	C46H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:4)_lp_c	PC 39:4	823.6091	C47H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:4)_lp_d	PC 39:4	823.6091	C47H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:4)_lp_e	PC 39:4	823.6091	C47H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:4)_lp_h	-					
PC(39:5)_lp_c	PC 39:5	821.5935	C47H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:5)_lp_f	PC 39:5	821.5935	C47H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:5)_lp_g	-					
PC(39:5)_lp_h	-					
PC(39:6)_lp_c	PC 39:6	819.5778	C47H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:6)_lp_d	PC 39:6	819.5778	C47H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:6)_lp_h	-					
PC(40:0)	PC 40:0	845.6874	C48H96NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(18:1_22:0)	PC 18:1_22:0	843.6717	C48H94NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:1)	PC 40:1	843.6717	C48H94NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:2)_ln_a	PC 40:2	841.6561	C48H92NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:2)_lp_b	PC 40:2	841.6561	C48H92NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:2)_lp_c	PC 40:2	841.6561	C48H92NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(18:0_22:4)_ln_b	PC 18:0_22:4	837.6248	C48H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:4)_lp_a	PC 40:4	837.6248	C48H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:4)_lp_b	PC 40:4	837.6248	C48H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:4)_lp_c	PC 40:4	837.6248	C48H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(18:0_22:5)_ln_c	PC 18:0_22:5	835.6091	C48H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:5)_lp_a	PC 40:5	835.6091	C48H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:5)_lp_c	PC 40:5	835.6091	C48H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:5)_lp_d	PC 40:5	835.6091	C48H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:6)	PC 40:6	833.5935	C48H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:6)_lp_c	PC 40:6	833.5935	C48H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:7)_lp_a	PC 40:7	831.5778	C48H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:7)_lp_b	PC 40:7	831.5778	C48H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:7)_lp_c	PC 40:7	831.5778	C48H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:7)_lp_d	PC 40:7	831.5778	C48H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:8)	PC 40:8	829.5622	C48H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(41:1)	PC 41:1	857.6874	C49H96NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(41:2)_lp_c	PC 41:2	855.6717	C49H94NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(41:3)	PC 41:3	853.6561	C49H92NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(41:6)_lp_c	PC 41:6	847.6091	C49H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:1)_ln_b	PC 42:1	871.7030	C50H98NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:1)_lp_b	PC 42:1	871.7030	C50H98NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(20:4_22:6)	PC 20:4_22:6	853.5622	C50H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:2)_lp_a	PC 42:2	869.6874	C50H96NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:2)_lp_b	PC 42:2	869.6874	C50H96NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:3)_lp_a	PC 42:3	867.6717	C50H94NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:4)_lp_c	PC 42:4	865.6561	C50H92NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:4)_lp_e	PC 42:4	865.6561	C50H92NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:5)_lp_a	PC 42:5	863.6404	C50H90NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:5)_lp_c	PC 42:5	863.6404	C50H90NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:5)_lp_f	PC 42:5	863.6404	C50H90NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:6)_lp_a	PC 42:6	861.6248	C50H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:6)_lp_b	PC 42:6	861.6248	C50H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:6)_lp_c	PC 42:6	861.6248	C50H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:6)_lp_d	PC 42:6	861.6248	C50H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:7)_lp_b	PC 42:7	859.6091	C50H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:7)_lp_d	PC 42:7	859.6091	C50H86NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:8)_lp_b	PC 42:8	857.5935	C50H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:9)_lp_b	PC 42:9	855.5778	C50H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:9)_lp_c	PC 42:9	855.5778	C50H82NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(44:10)	PC 44:10	881.5935	C52H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(44:12)	PC 44:12	877.5622	C52H80NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(44:4)_lp_b	PC 44:4	893.6874	C52H96NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(44:5)_lp_b	PC 44:5	891.6717	C52H94NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(44:8)_lp_b	PC 44:8	885.6248	C52H88NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(46:5)_lp_b	PC 46:5	919.7030	C54H98NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(O-30:0)	PC O-30:0	691.5516	C38H78NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-31:0)_lp_b	PC O-31:0	705.5672	C39H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-16:0/16:0)	PC O-16:0/16:0	719.5829	C40H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-32:0)	PC O-32:0	719.5829	C40H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-32:1)_ln_b	PC O-32:1	717.5672	C40H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-32:1)_lp_a	PC O-32:1	717.5672	C40H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-32:1)_lp_b	PC O-32:1	717.5672	C40H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-32:2)_lp_a	PC O-32:2	715.5516	C40H78NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-33:0)	PC O-33:0	733.5985	C41H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-33:0)_lp_d	PC O-33:0	733.5985	C41H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:0)	PC O-34:0	747.6142	C42H86NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-18:1/16:0)_ln_b	PC O-18:1/16:0	745.5985	C42H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:1)_ln_d	PC O-34:1	745.5985	C42H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:1)_lp_b	PC O-34:1	745.5985	C42H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:1)_lp_d	PC O-34:1	745.5985	C42H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:2)_lp_a	PC O-34:2	743.5829	C42H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:2)_lp_b	PC O-34:2	743.5829	C42H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:0)	PC O-36:0	775.6455	C44H90NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:1)_lp_a	PC O-36:1	773.6298	C44H88NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:1)_lp_b	PC O-36:1	773.6298	C44H88NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:1)_lp_c	PC O-36:1	773.6298	C44H88NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:1)_lp_d	PC O-36:1	773.6298	C44H88NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:2)_lp_b	PC O-36:2	771.6142	C44H86NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:3)_lp_a	PC O-36:3	769.5985	C44H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:3)_lp_b	PC O-36:3	769.5985	C44H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:3)_lp_c	PC O-36:3	769.5985	C44H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-16:0/20:4)_ln_d	PC O-16:0/20:4	767.5829	C44H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:4)_lp_a	PC O-36:4	767.5829	C44H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:4)_lp_b	PC O-36:4	767.5829	C44H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:4)_lp_d	PC O-36:4	767.5829	C44H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:5)_ln_e	PC O-36:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:5)_lp_a	PC O-36:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:5)_lp_b	PC O-36:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:5)_lp_e	PC O-36:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-37:5)_lp_a	PC O-37:5	779.5829	C45H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-37:5)_lp_b	PC O-37:5	779.5829	C45H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:2)_lp_d	PC O-38:2	799.6455	C46H90NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:3)_lp_b	PC O-38:3	797.6298	C46H88NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:4)_lp_d	PC O-38:4	795.6142	C46H86NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:4)_lp_f	PC O-38:4	795.6142	C46H86NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:6)_ln_a	PC O-38:6	791.5829	C46H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:5)_lp_a	PC O-38:5	793.5985	C46H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:5)_lp_b	PC O-38:5	793.5985	C46H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:5)_lp_c	PC O-38:5	793.5985	C46H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:6)_lp_a	PC O-38:6	791.5829	C46H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:6)_lp_b	PC O-38:6	791.5829	C46H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:6)_lp_c	PC O-38:6	791.5829	C46H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:7)_lp_a	PC O-38:7	789.5672	C46H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:7)_lp_b	PC O-38:7	789.5672	C46H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:7)_lp_g	-					
PC(O-40:4)_lp_a	PC O-40:4	823.6455	C48H90NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:4)_lp_b	PC O-40:4	823.6455	C48H90NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:4)_lp_c	PC O-40:4	823.6455	C48H90NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:6)_lp_a	PC O-40:6	819.6142	C48H86NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:6)_lp_c	PC O-40:6	819.6142	C48H86NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:6)_lp_e	PC O-40:6	819.6142	C48H86NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:7)_lp_a	PC O-40:7	817.5985	C48H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-40:7)_lp_c	PC O-40:7	817.5985	C48H84NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-42:6)_lp_c	PC O-42:6	847.6455	C50H90NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PE(16:0_16:1)	PE 16:0_16:1	689.4996	C37H72NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(34:0)_ln_a	PE 34:0	719.5465	C39H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(16:0_18:1)_ln_a	PE 16:0_18:1	717.5309	C39H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(34:1)_lp_a	PE 34:1	717.5309	C39H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(16:0_18:2)_ln_b	PE 16:0_18:2	715.5152	C39H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(34:2)_lp_b	PE 34:2	715.5152	C39H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(34:3)_ln_a	PE 34:3	713.4996	C39H72NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_18:1)_ln_a	PE 18:0_18:1	745.5622	C41H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_18:1)_ln_c	PE 18:0_18:1	745.5622	C41H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:1)_lp_c	PE 36:1	745.5622	C41H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_18:2)_ln_b	PE 18:0_18:2	743.5465	C41H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_18:2)_lp_b	PE 18:0_18:2	743.5465	C41H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:1/18:1)_ln_b	PE 18:1/18:1	743.5465	C41H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:2)_lp_b	PE 36:2	743.5465	C41H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:1_18:2)_ln_a	PE 18:1_18:2	741.5309	C41H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:3)_lp_a	PE 36:3	741.5309	C41H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(16:0_20:4)_ln_c	PE 16:0_20:4	739.5152	C41H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(16:0_20:4)_lp_c	PE 16:0_20:4	739.5152	C41H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(16:0_20:4)_lp_e	PE 16:0_20:4	739.5152	C41H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:4)_lp_a	PE 36:4	739.5152	C41H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(16:0_20:5)_ln_c	PE 16:0_20:5	737.4996	C41H72NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:5)_lp_b	PE 36:5	737.4996	C41H72NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(36:5)_lp_e	PE 36:5	737.4996	C41H72NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(17:0_20:4)_ln_b	PE 17:0_20:4	753.5309	C42H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:1)_ln_b	PE 38:1	773.5935	C43H84NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:3)_lp_a	PE 18:0_20:3	769.5622	C43H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:3)_lp_b	PE 18:0_20:3	769.5622	C43H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:3)_ln_c	PE 18:0_20:3	769.5622	C43H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:3)_lp_c	PE 18:0_20:3	769.5622	C43H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:3)_lp_d	PE 18:0_20:3	769.5622	C43H80NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(16:0_22:4)_ln_d	PE 16:0_22:4	767.5465	C43H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:4)_lp_d	PE 18:0_20:4	767.5465	C43H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:4)_ln_e	PE 18:0_20:4	767.5465	C43H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:0_20:4)_lp_e	PE 18:0_20:4	767.5465	C43H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:5)_ln_c	PE 38:5	765.5309	C43H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(38:5)_ln_f	PE 38:5	765.5309	C43H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(18:1_20:4)_lp_b	PE 18:1_20:4	765.5309	C43H76NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
