"feature_set","factor","pval","padj","sign","view"
"GOMF_CALMODULIN_BINDING","Factor1",0.370856827205936,0.712297958271742,"negative","Redox"
"GOMF_ACTIN_BINDING","Factor1",0.375629351735804,0.717325672533569,"negative","Redox"
"GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT","Factor1",0.383741580335584,0.720542294575072,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","Factor1",0.382279860699578,0.720542294575072,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH","Factor1",0.383725238002427,0.720542294575072,"negative","Redox"
"GOBP_GLYCEROLIPID_METABOLIC_PROCESS","Factor1",0.392076268048983,0.725104905367698,"negative","Redox"
"GOBP_MONOSACCHARIDE_METABOLIC_PROCESS","Factor1",0.395006321817111,0.726149346094928,"negative","Redox"
"GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND","Factor1",0.397195286675876,0.727880080812169,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION","Factor1",0.405256059993482,0.727880080812169,"negative","Redox"
"GOBP_PLASMA_MEMBRANE_ORGANIZATION","Factor1",0.403032169164404,0.727880080812169,"negative","Redox"
"GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT","Factor1",0.40542937602825,0.727880080812169,"negative","Redox"
"GOCC_SARCOPLASM","Factor1",0.0526234463281673,0.751413861523133,"positive","Redox"
"GOMF_GATED_CHANNEL_ACTIVITY","Factor1",0.0523236828713562,0.751413861523133,"positive","Redox"
"GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY","Factor1",0.0523236828713562,0.751413861523133,"positive","Redox"
